Department,ProductGroup,Price,Type
mens,apparel,88,PANTS
mens,apparel,88,PANTS
mens,apparel,85,SWEATER
mens,apparel,85,SWEATER
mens,apparel,88,SHIRT
mens,apparel,88,SHORTS
mens,apparel,68,SHIRT
mens,apparel,79,SHORTS
mens,apparel,78,SWIMWEAR
mens,apparel,78,SWIMWEAR
mens,apparel,69,SWIMWEAR
mens,apparel,44.16,PANTS
womens,apparel,63.03,SWIMWEAR
mens,apparel,35.88,SHIRT
mens,apparel,43.5,SHIRT
mens,apparel,43.5,SHIRT
mens,apparel,41.24,PANTS
mens,apparel,79.5,SHIRT
mens,apparel,22.49,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,154.8,PANTS
mens,apparel,79.5,SHIRT
mens,apparel,108,SHIRT
mens,apparel,108,SHIRT
mens,apparel,59.5,SHORTS
mens,apparel,59.5,SHORTS
mens,apparel,59.5,SHORTS
mens,apparel,69.5,SHIRT
mens,apparel,89.5,PANTS
mens,apparel,59.5,PANTS
mens,apparel,37.49,PANTS
mens,apparel,74.99,SWEATER
mens,apparel,74.99,SWEATER
mens,apparel,79.5,PANTS
mens,apparel,108,SHIRT
mens,apparel,65,SHIRT
mens,apparel,58,SHIRT
mens,apparel,65,SHIRT
mens,apparel,56.31,SHIRT
mens,apparel,37.49,SHIRT
mens,apparel,37.49,SHIRT
mens,apparel,37.49,SHIRT
mens,apparel,58,SHIRT
mens,apparel,52,SHIRT
mens,apparel,65,SHIRT
mens,apparel,58,SHIRT
mens,apparel,35.31,SHIRT
mens,apparel,58,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,39.99,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,37.49,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,44.99,SHIRT
mens,apparel,37.49,SHIRT
mens,apparel,69.5,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,79.5,SHIRT
mens,apparel,178,SUIT
mens,apparel,67.49,SUIT
mens,apparel,79.5,PANTS
womens,apparel,65.61,SHIRT
mens,apparel,89.99,PANTS
mens,apparel,99,PANTS
womens,apparel,98.95,PANTS
womens,apparel,86.34,PANTS
mens,apparel,89.5,SHIRT
mens,apparel,99.5,SHIRT
womens,apparel,41.46,DRESS
mens,apparel,44.99,PANTS
womens,apparel,159,SWEATER
mens,apparel,119,SWEATER
mens,apparel,139,SWEATER
womens,apparel,109,SWEATER
mens,apparel,139,SWEATER
mens,apparel,119,SWEATER
womens,apparel,109,SWEATER
womens,apparel,158,DRESS
womens,apparel,42.7,SHIRT
mens,apparel,34.03,SHIRT
mens,apparel,26.57,SHIRT
mens,apparel,29.85,SHIRT
womens,apparel,198,SHIRT
womens,apparel,99.77,SHIRT
womens,apparel,49.5,PANTS
womens,apparel,158,DRESS
womens,apparel,47.24,PANTS
mens,apparel,52.49,PANTS
womens,apparel,184,DRESS
womens,apparel,89,DRESS
womens,apparel,39.63,DRESS
mens,apparel,32.49,SHIRT
womens,apparel,87.95,PANTS
womens,apparel,138,DRESS
womens,apparel,169,DRESS
womens,apparel,41.24,PANTS
womens,apparel,38,PANTS
mens,apparel,39.99,PANTS
mens,apparel,39.99,PANTS
mens,apparel,59.97,SUIT
womens,apparel,44,OUTERWEAR
mens,apparel,52,OUTERWEAR
mens,apparel,52,OUTERWEAR
womens,apparel,42,OUTERWEAR
womens,apparel,52,OUTERWEAR
mens,apparel,40.69,OUTERWEAR
womens,apparel,90,DRESS
womens,apparel,32,SHIRT
mens,apparel,59.99,SUIT
mens,apparel,58,PANTS
mens,apparel,43.47,OUTERWEAR
mens,apparel,238,PANTS
womens,apparel,32,SHIRT
mens,apparel,139,PANTS
womens,apparel,61,PANTS
mens,apparel,34.04,SHIRT
mens,apparel,31.88,SHIRT
mens,apparel,85.49,PANTS
mens,apparel,58,PANTS
mens,apparel,28.1,SHIRT
mens,apparel,29.15,SHIRT
mens,apparel,28.12,SHIRT
mens,apparel,29.5,SHIRT
womens,apparel,85.5,PANTS
womens,apparel,46.94,SKIRT
mens,apparel,62.4,PANTS
womens,apparel,69.5,SKIRT
mens,apparel,68,SHIRT
mens,apparel,179,SHIRT
mens,apparel,127.22,OUTERWEAR
mens,apparel,125,SHIRT
mens,apparel,40,SWEATER
mens,apparel,40,SWEATER
mens,apparel,36,OUTERWEAR
mens,apparel,52,OUTERWEAR
mens,apparel,75,SWEATER
mens,apparel,135,PANTS
mens,apparel,159,PANTS
mens,apparel,235,OUTERWEAR
womens,apparel,39.98,SHIRT
mens,apparel,57.99,SUIT
mens,apparel,74.5,SWEATER
mens,apparel,74.5,SWEATER
mens,apparel,69.5,SWEATER
mens,apparel,69.5,SWEATER
mens,apparel,74.5,SWEATER
mens,apparel,69.5,SWEATER
womens,apparel,41,DRESS
womens,apparel,45.5,DRESS
mens,apparel,68,SHIRT
womens,apparel,64,SHIRT
mens,apparel,119,SWIMWEAR
mens,apparel,87.99,SHIRT
mens,apparel,325,OUTERWEAR
mens,apparel,175,PANTS
mens,apparel,122.5,OUTERWEAR
mens,apparel,222.5,OUTERWEAR
womens,apparel,29.99,SHIRT
mens,apparel,29.13,SHIRT
mens,apparel,32.94,SHIRT
mens,apparel,34.94,SHIRT
mens,apparel,32.94,SHIRT
mens,apparel,64.5,SHIRT
womens,apparel,118,SWIMWEAR
womens,apparel,98,DRESS
womens,apparel,192,PANTS
mens,apparel,68,SHIRT
mens,apparel,167.7,PANTS
womens,apparel,178,SKIRT
mens,apparel,109,SHIRT
mens,apparel,229,SUIT
mens,apparel,185,SHIRT
mens,apparel,195,PANTS
womens,apparel,46,SHIRT
womens,apparel,134.29,PANTS
womens,apparel,198,PANTS
mens,apparel,69.5,SHIRT
mens,apparel,109,SHORTS
mens,apparel,98.97,PANTS
womens,apparel,46,SHIRT
womens,apparel,46,SHIRT
womens,apparel,32,SHIRT
womens,apparel,48,SHIRT
womens,apparel,55,SHIRT
womens,apparel,43,SHIRT
mens,apparel,65,SHIRT
mens,apparel,65,SHIRT
mens,apparel,41.55,SHIRT
mens,apparel,41.55,SHIRT
mens,apparel,65,SHIRT
mens,apparel,195,SHIRT
mens,apparel,65,SHIRT
mens,apparel,29.26,SHIRT
mens,apparel,105,SHIRT
mens,apparel,149,PANTS
mens,apparel,55,SHIRT
mens,apparel,55,SHIRT
womens,apparel,89.43,OUTERWEAR
mens,apparel,158,PANTS
womens,apparel,64,SHIRT
womens,apparel,46,SHIRT
mens,apparel,160,PANTS
womens,apparel,99,DRESS
mens,apparel,88,PANTS
mens,apparel,88,PANTS
womens,apparel,138,SHIRT
womens,apparel,1298,BLAZER
womens,apparel,141.73,BLAZER
mens,apparel,195,PANTS
womens,apparel,31.6,SHIRT
mens,apparel,89.5,SHIRT
womens,apparel,198,DRESS
womens,apparel,64,SHORTS
womens,apparel,188,DRESS
womens,apparel,188,DRESS
mens,apparel,89.5,SHIRT
womens,apparel,198,DRESS
womens,apparel,138,DRESS
womens,apparel,138,SHIRT
mens,apparel,74.25,PANTS
womens,apparel,89.5,SWEATER
mens,apparel,39.5,SHIRT
mens,apparel,39.5,SHIRT
mens,apparel,99,PANTS
mens,apparel,49.5,SHIRT
mens,apparel,99,PANTS
womens,apparel,54,SWEATER
womens,apparel,268,PANTS
womens,apparel,348,DRESS
